"Time (s)"	"Acceleration (m/s²)"
5.091926238E1	3.829867780E-2
5.095947608E1	5.072342634E-2
5.099969108E1	-1.525538564E-3
5.103990508E1	2.364029288E-3
5.108012008E1	-3.835364163E-2
5.112033408E1	-1.806789637E-4
5.116054908E1	2.212410986E-2
5.120076308E1	-1.524082607E-1
5.124097808E1	-8.490449488E-2
5.128119208E1	1.029636204E-2
5.132140708E1	6.478831887E-2
5.136162108E1	1.149971902E-2
5.140183608E1	-1.559686303E-2
5.144205008E1	-2.981846094E-2
5.148226508E1	4.309982657E-3
5.152247908E1	1.867893040E-2
5.156269408E1	-4.876577854E-4
5.160290808E1	-8.266325712E-2
5.164312308E1	-1.034694046E-1
5.168333708E1	5.804589450E-2
5.172355108E1	-4.373775780E-2
5.176376608E1	-6.753358662E-2
5.180398008E1	-7.741479635E-2
5.184419508E1	-6.080168724E-2
5.188440908E1	1.359126806E-2
5.192462408E1	-1.155936062E-2
5.196483863E1	-4.868684113E-2
5.200505363E1	-8.251356840E-2
5.204526763E1	-1.769893706E-2
5.208548263E1	6.551220417E-3
5.212569663E1	6.698570251E-3
5.216591163E1	-5.108010650E-2
5.220612563E1	-6.679683745E-2
5.224634063E1	-4.329161525E-2
5.228655463E1	3.768355072E-2
5.232676963E1	5.804004729E-2
5.236698363E1	-9.104757965E-2
5.240719763E1	-6.574609280E-2
5.244741263E1	3.258653283E-3
5.248762663E1	-5.242672026E-2
5.252784163E1	-6.469359398E-3
5.256805563E1	-1.799539089E-2
5.260827063E1	-4.194792509E-2
5.264848463E1	-9.448925078E-2
5.268869963E1	2.361339569E-2
5.272891363E1	9.217609227E-2
5.276912863E1	1.465312243E-3
5.280934263E1	-1.552599478E-1
5.284955763E1	-8.370873928E-2
5.288977163E1	4.563108623E-2
5.292998563E1	3.276077986E-2
5.297020063E1	-6.663311541E-2
5.301041463E1	-1.535975844E-1
5.305062963E1	1.420464098E-2
5.309084363E1	8.904724717E-2
5.313105863E1	-5.557778478E-3
5.317127263E1	-4.672217667E-2
5.321148763E1	-7.171726942E-2
5.325170163E1	3.171939075E-2
5.329191663E1	7.617401719E-2
5.333213063E1	2.603238881E-2
5.337234563E1	-7.216341197E-2
5.341255963E1	-2.555817962E-3
5.345277363E1	3.157730341E-2
5.349298863E1	1.690546989E-2
5.353320263E1	-9.027165413E-2
5.357341763E1	-3.698422372E-2
5.361363163E1	2.723340690E-2
5.365384663E1	-5.958137333E-2
